path,action,reason,timestamp
phase12_supplementary.py,MOVE,Move to canonical 06_analysis/scripts/ folder with phase prefix -> 06_analysis/scripts/13_phase12_supplementary.py,2026-09-16T08:44:15
phase13_submission.py,MOVE,Move to canonical 06_analysis/scripts/ folder with phase prefix -> 06_analysis/scripts/14_phase13_submission.py,2026-09-16T08:44:15
phase3_dedup_fast.py,DELETE,Superseded root script,2026-09-16T08:44:15
phase4_prompts_v2.py,DELETE,Superseded root script,2026-09-16T08:44:15
phase5_screening.py,DELETE,Superseded root script,2026-09-16T08:44:15
phase6_prompts.py,DELETE,Superseded root script,2026-09-16T08:44:15
phase8_9_tables_synthesis.py,DELETE,Superseded root script,2026-09-16T08:44:15
generate_extraction_prompts_v2.py,DELETE,Superseded root script,2026-09-16T08:44:15
AGENT_TASK.md,DELETE,Superseded root governance doc by MASTER_PROMPT_FINAL.md,2026-09-16T08:44:15
06_analysis/scripts/02_generate_prompts.py,DELETE,Superseded by 05_generate_screening_prompts_v2.py,2026-09-16T08:44:15
06_analysis/scripts/deduplicate.py,DELETE,Superseded by 01_deduplicate.py,2026-09-16T08:44:15
06_analysis/scripts/03_parse_screening.py,DELETE,Superseded by 03b_run_true_screening.py,2026-09-16T08:44:15
06_analysis/scripts/automated_screening.py,DELETE,Superseded by 03b_run_true_screening.py,2026-09-16T08:44:15
06_analysis/scripts/verify_screening.py,DELETE,Superseded by 99_verify_all_v2.py,2026-09-16T08:44:15
06_analysis/scripts/test_screening_automation.py,DELETE,Tests a deleted script,2026-09-16T08:44:15
06_analysis/scripts/05_parse_extraction.py,DELETE,Superseded by 07_phase7_extraction.py,2026-09-16T08:44:15
06_analysis/scripts/04b_run_data_extraction.py,DELETE,Superseded by 07_phase7_extraction.py,2026-09-16T08:44:15
06_analysis/scripts/quality_appraisal.py,DELETE,Absorbed into 07_phase7_extraction.py,2026-09-16T08:44:15
06_analysis/scripts/06_generate_figures.py,DELETE,Superseded by 06_generate_figures_v2.py,2026-09-16T08:44:15
06_analysis/scripts/generate_perf_table.py,DELETE,Superseded by 11_generate_perf_tables.py,2026-09-16T08:44:15
06_analysis/scripts/99_verify_all.py,DELETE,Superseded by 99_verify_all_v2.py,2026-09-16T08:44:15
06_analysis/scripts/sample_validation.py,DELETE,Absorbed into validate_screening.py,2026-09-16T08:44:15
03_prompts/extraction_prompts,DELETE,v1 extraction prompts folder with wrong schema (636 files removed),2026-09-16T08:44:15
